Berrien,HILLARY CLINTON,Ray City,160.0
Berrien,HILLARY CLINTON,West Berrien,49.0
Bibb,DONALD J. TRUMP,EAST MACON 1,26.0
Bibb,DONALD J. TRUMP,EAST MACON 2,100.0
Bibb,DONALD J. TRUMP,EAST MACON 3,490.0
Bibb,DONALD J. TRUMP,EAST MACON 4,63.0
Bibb,DONALD J. TRUMP,EAST MACON 5,318.0
Bibb,DONALD J. TRUMP,GODFREY 1,189.0
Bibb,DONALD J. TRUMP,GODFREY 2,68.0
Bibb,DONALD J. TRUMP,GODFREY 3,153.0
Bibb,DONALD J. TRUMP,GODFREY 4,103.0
Bibb,DONALD J. TRUMP,GODFREY 5,286.0
Bibb,DONALD J. TRUMP,HAZZARD 1,230.0
Bibb,DONALD J. TRUMP,HAZZARD 2,1125.0
Bibb,DONALD J. TRUMP,HAZZARD 3,1108.0
Bibb,DONALD J. TRUMP,HAZZARD 4,1004.0
Bibb,DONALD J. TRUMP,HAZZARD 5,1000.0
Bibb,DONALD J. TRUMP,HOWARD 1,657.0
Bibb,DONALD J. TRUMP,HOWARD 2 - 02,341.0
Bibb,DONALD J. TRUMP,HOWARD 2 - 08,1430.0
Bibb,DONALD J. TRUMP,HOWARD 3,3100.0
Bibb,DONALD J. TRUMP,HOWARD 4,590.0
Bibb,DONALD J. TRUMP,HOWARD 5,460.0
Bibb,DONALD J. TRUMP,HOWARD 6,814.0
Bibb,DONALD J. TRUMP,HOWARD 7,1182.0
Bibb,DONALD J. TRUMP,RUTLAND 1,2297.0
Bibb,DONALD J. TRUMP,RUTLAND 2,1378.0
Bibb,DONALD J. TRUMP,VINEVILLE 1,581.0
Bibb,DONALD J. TRUMP,VINEVILLE 2,281.0
Bibb,DONALD J. TRUMP,VINEVILLE 3,126.0
Bibb,DONALD J. TRUMP,VINEVILLE 4,223.0
Bibb,DONALD J. TRUMP,VINEVILLE 5,912.0
Bibb,DONALD J. TRUMP,VINEVILLE 6,944.0
Bibb,DONALD J. TRUMP,WARRIOR 1,1131.0
Bibb,DONALD J. TRUMP,WARRIOR 2,1333.0
Bibb,GARY JOHNSON,EAST MACON 1,4.0
Bibb,GARY JOHNSON,EAST MACON 2,21.0
Bibb,GARY JOHNSON,EAST MACON 3,52.0
Bibb,GARY JOHNSON,EAST MACON 4,13.0
Bibb,GARY JOHNSON,EAST MACON 5,22.0
Bibb,GARY JOHNSON,GODFREY 1,67.0
Bibb,GARY JOHNSON,GODFREY 2,10.0
Bibb,GARY JOHNSON,GODFREY 3,15.0
Bibb,GARY JOHNSON,GODFREY 4,10.0
Bibb,GARY JOHNSON,GODFREY 5,38.0
Bibb,GARY JOHNSON,HAZZARD 1,13.0
Bibb,GARY JOHNSON,HAZZARD 2,61.0
Bibb,GARY JOHNSON,HAZZARD 3,74.0
Bibb,GARY JOHNSON,HAZZARD 4,23.0
Bibb,GARY JOHNSON,HAZZARD 5,37.0
Bibb,GARY JOHNSON,HOWARD 1,33.0
Bibb,GARY JOHNSON,HOWARD 2 - 02,11.0
Bibb,GARY JOHNSON,HOWARD 2 - 08,50.0
Bibb,GARY JOHNSON,HOWARD 3,158.0
Bibb,GARY JOHNSON,HOWARD 4,46.0
Bibb,GARY JOHNSON,HOWARD 5,47.0
Bibb,GARY JOHNSON,HOWARD 6,59.0
Bibb,GARY JOHNSON,HOWARD 7,69.0
Bibb,GARY JOHNSON,RUTLAND 1,57.0
Bibb,GARY JOHNSON,RUTLAND 2,50.0
Bibb,GARY JOHNSON,VINEVILLE 1,95.0
Bibb,GARY JOHNSON,VINEVILLE 2,41.0
Bibb,GARY JOHNSON,VINEVILLE 3,18.0
Bibb,GARY JOHNSON,VINEVILLE 4,31.0
Bibb,GARY JOHNSON,VINEVILLE 5,60.0
Bibb,GARY JOHNSON,VINEVILLE 6,90.0
Bibb,GARY JOHNSON,WARRIOR 1,32.0
Bibb,GARY JOHNSON,WARRIOR 2,40.0
Bibb,HILLARY CLINTON,EAST MACON 1,954.0
Bibb,HILLARY CLINTON,EAST MACON 2,1999.0
Bibb,HILLARY CLINTON,EAST MACON 3,1289.0
Bibb,HILLARY CLINTON,EAST MACON 4,1234.0
Bibb,HILLARY CLINTON,EAST MACON 5,1125.0
Bibb,HILLARY CLINTON,GODFREY 1,2689.0
Bibb,HILLARY CLINTON,GODFREY 2,773.0
Bibb,HILLARY CLINTON,GODFREY 3,1507.0
Bibb,HILLARY CLINTON,GODFREY 4,892.0
Bibb,HILLARY CLINTON,GODFREY 5,2195.0
Bibb,HILLARY CLINTON,HAZZARD 1,1555.0
Bibb,HILLARY CLINTON,HAZZARD 2,1176.0
Bibb,HILLARY CLINTON,HAZZARD 3,2675.0
Bibb,HILLARY CLINTON,HAZZARD 4,445.0
Bibb,HILLARY CLINTON,HAZZARD 5,709.0
Bibb,HILLARY CLINTON,HOWARD 1,429.0
Bibb,HILLARY CLINTON,HOWARD 2 - 02,101.0
Bibb,HILLARY CLINTON,HOWARD 2 - 08,750.0
Bibb,HILLARY CLINTON,HOWARD 3,2179.0
Bibb,HILLARY CLINTON,HOWARD 4,448.0
Bibb,HILLARY CLINTON,HOWARD 5,459.0
Bibb,HILLARY CLINTON,HOWARD 6,526.0
Bibb,HILLARY CLINTON,HOWARD 7,568.0
Bibb,HILLARY CLINTON,RUTLAND 1,1315.0
Bibb,HILLARY CLINTON,RUTLAND 2,641.0
Bibb,HILLARY CLINTON,VINEVILLE 1,1233.0
Bibb,HILLARY CLINTON,VINEVILLE 2,842.0
Bibb,HILLARY CLINTON,VINEVILLE 3,1485.0
Bibb,HILLARY CLINTON,VINEVILLE 4,1944.0
Bibb,HILLARY CLINTON,VINEVILLE 5,557.0
Bibb,HILLARY CLINTON,VINEVILLE 6,833.0
Bibb,HILLARY CLINTON,WARRIOR 1,554.0
Bibb,HILLARY CLINTON,WARRIOR 2,706.0
Bleckley,DONALD J. TRUMP,FAIRGROUND,3719.0
Bleckley,GARY JOHNSON,FAIRGROUND,123.0
Bleckley,HILLARY CLINTON,FAIRGROUND,1101.0
Brantley,DONALD J. TRUMP,Hoboken,1863.0
Brantley,DONALD J. TRUMP,Nahunta,2021.0
Brantley,DONALD J. TRUMP,Waynesville,1683.0
Brantley,GARY JOHNSON,Hoboken,44.0
Brantley,GARY JOHNSON,Nahunta,31.0
Brantley,GARY JOHNSON,Waynesville,31.0
Brantley,HILLARY CLINTON,Hoboken,135.0
Brantley,HILLARY CLINTON,Nahunta,274.0
Brantley,HILLARY CLINTON,Waynesville,210.0
Brooks,DONALD J. TRUMP,Barwick,173.0
Brooks,DONALD J. TRUMP,Briggs,1003.0
Brooks,DONALD J. TRUMP,Dixie,316.0
Brooks,DONALD J. TRUMP,Morven,755.0
Brooks,DONALD J. TRUMP,Nankin,389.0
Brooks,DONALD J. TRUMP,Pavo,249.0
Brooks,DONALD J. TRUMP,Quitman,816.0
Brooks,GARY JOHNSON,Barwick,2.0
Brooks,GARY JOHNSON,Briggs,22.0
Brooks,GARY JOHNSON,Dixie,9.0
Brooks,GARY JOHNSON,Morven,11.0
Brooks,GARY JOHNSON,Nankin,8.0
Brooks,GARY JOHNSON,Pavo,5.0
Brooks,GARY JOHNSON,Quitman,32.0
Brooks,HILLARY CLINTON,Barwick,52.0
Brooks,HILLARY CLINTON,Briggs,234.0
Brooks,HILLARY CLINTON,Dixie,347.0
Brooks,HILLARY CLINTON,Morven,370.0
Brooks,HILLARY CLINTON,Nankin,58.0
Brooks,HILLARY CLINTON,Pavo,85.0
Brooks,HILLARY CLINTON,Quitman,1382.0
Bryan,DONALD J. TRUMP,Black Creek,1111.0
Bryan,DONALD J. TRUMP,Danielsiding,1004.0
Bryan,DONALD J. TRUMP,Ellabell,848.0
Bryan,DONALD J. TRUMP,HWY 144 East,1389.0
Bryan,DONALD J. TRUMP,J.F. Gregory Park,1440.0
Bryan,DONALD J. TRUMP,Keller,1760.0
Bryan,DONALD J. TRUMP,Pembroke,854.0
Bryan,DONALD J. TRUMP,Public Safety,737.0
Bryan,DONALD J. TRUMP,RH Recreation,871.0
Bryan,DONALD J. TRUMP,Ways Station,515.0
Bryan,GARY JOHNSON,Black Creek,38.0
Bryan,GARY JOHNSON,Danielsiding,50.0
Bryan,GARY JOHNSON,Ellabell,17.0
Bryan,GARY JOHNSON,HWY 144 East,80.0
Bryan,GARY JOHNSON,J.F. Gregory Park,72.0
Bryan,GARY JOHNSON,Keller,91.0
Bryan,GARY JOHNSON,Pembroke,30.0
Bryan,GARY JOHNSON,Public Safety,58.0
Bryan,GARY JOHNSON,RH Recreation,74.0
Bryan,GARY JOHNSON,Ways Station,32.0
Bryan,HILLARY CLINTON,Black Creek,283.0
Bryan,HILLARY CLINTON,Danielsiding,299.0
Bryan,HILLARY CLINTON,Ellabell,199.0
Bryan,HILLARY CLINTON,HWY 144 East,508.0
Bryan,HILLARY CLINTON,J.F. Gregory Park,439.0
Bryan,HILLARY CLINTON,Keller,596.0
Bryan,HILLARY CLINTON,Pembroke,449.0
Bryan,HILLARY CLINTON,Public Safety,392.0
Bryan,HILLARY CLINTON,RH Recreation,512.0
Bryan,HILLARY CLINTON,Ways Station,337.0
Bulloch,DONALD J. TRUMP,Bay,766.0
Bulloch,DONALD J. TRUMP,Blitch,946.0
Bulloch,DONALD J. TRUMP,Brooklet,1317.0
Bulloch,DONALD J. TRUMP,Church,1572.0
Bulloch,DONALD J. TRUMP,Emit,1234.0
Bulloch,DONALD J. TRUMP,Fair,2293.0
Bulloch,DONALD J. TRUMP,Hagin,863.0
Bulloch,DONALD J. TRUMP,Leefield,488.0
Bulloch,DONALD J. TRUMP,Lockhart,291.0
Bulloch,DONALD J. TRUMP,Nevils,522.0
Bulloch,DONALD J. TRUMP,Pittman Park,1108.0
Bulloch,DONALD J. TRUMP,Portal,698.0
Bulloch,DONALD J. TRUMP,Register,312.0
Bulloch,DONALD J. TRUMP,Sinkhole,267.0
Bulloch,DONALD J. TRUMP,Statesboro,1565.0
Bulloch,DONALD J. TRUMP,Stilson,855.0
Bulloch,GARY JOHNSON,Bay,23.0
Bulloch,GARY JOHNSON,Blitch,28.0
Bulloch,GARY JOHNSON,Brooklet,56.0
Bulloch,GARY JOHNSON,Church,121.0
Bulloch,GARY JOHNSON,Emit,59.0
Bulloch,GARY JOHNSON,Fair,144.0
Bulloch,GARY JOHNSON,Hagin,22.0
Bulloch,GARY JOHNSON,Leefield,8.0
Bulloch,GARY JOHNSON,Lockhart,7.0
Bulloch,GARY JOHNSON,Nevils,13.0
Bulloch,GARY JOHNSON,Pittman Park,234.0
Bulloch,GARY JOHNSON,Portal,16.0
Bulloch,GARY JOHNSON,Register,13.0
Bulloch,GARY JOHNSON,Sinkhole,2.0
Bulloch,GARY JOHNSON,Statesboro,111.0
Bulloch,GARY JOHNSON,Stilson,33.0
Bulloch,HILLARY CLINTON,Bay,104.0
Bulloch,HILLARY CLINTON,Blitch,304.0
Bulloch,HILLARY CLINTON,Brooklet,394.0
Bulloch,HILLARY CLINTON,Church,1552.0
Bulloch,HILLARY CLINTON,Emit,460.0
Bulloch,HILLARY CLINTON,Fair,1183.0
Bulloch,HILLARY CLINTON,Hagin,464.0
Bulloch,HILLARY CLINTON,Leefield,74.0
Bulloch,HILLARY CLINTON,Lockhart,124.0
Bulloch,HILLARY CLINTON,Nevils,150.0
Bulloch,HILLARY CLINTON,Pittman Park,1944.0
Bulloch,HILLARY CLINTON,Portal,284.0
Bulloch,HILLARY CLINTON,Register,191.0
Bulloch,HILLARY CLINTON,Sinkhole,46.0
Bulloch,HILLARY CLINTON,Statesboro,1791.0
Bulloch,HILLARY CLINTON,Stilson,196.0
Burke,DONALD J. TRUMP,Alexander,140.0
Burke,DONALD J. TRUMP,Blakeney,149.0
Burke,DONALD J. TRUMP,Four Points,826.0
Burke,DONALD J. TRUMP,Girard,191.0
Burke,DONALD J. TRUMP,Gough,97.0
Burke,DONALD J. TRUMP,Greenscut,363.0
Burke,DONALD J. TRUMP,Keysville,92.0
Burke,DONALD J. TRUMP,Midville,117.0
Burke,DONALD J. TRUMP,Munnerlyn,94.0
Burke,DONALD J. TRUMP,North Waynesboro,404.0
Burke,DONALD J. TRUMP,Sardis,337.0
Burke,DONALD J. TRUMP,Scotts Crossroads,59.0
Burke,DONALD J. TRUMP,South Waynesboro,1120.0
